Title,URL,Date
A Two-Mile Beer Pipeline Carries Belgium’s Lifeblood to Be Bottled,http://mobile.nytimes.com/2016/09/17/world/europe/a-two-mile-beer-pipeline-carries-belgiums-lifeblood-to-be-bottled.html,1474095912
"A Glorified Sidewalk, and the Path to Transform Atlanta",http://mobile.nytimes.com/2016/09/12/us/atlanta-beltline.html,1473659695
Urban Mobility in a Digital Age,http://www.urbanmobilityla.com/strategy/,1473488227
Home Is Where the Parking Lot Is,http://www.nytimes.com/2016/09/06/opinion/long-term-parking.html,1473365876
No Sailors Needed: Robot Sailboats Scour the Oceans for Data,http://mobile.nytimes.com/2016/09/05/technology/no-sailors-needed-robot-sailboats-scour-the-oceans-for-data.html,1473093212
Jonas Eliasson: How to solve traffic jams,http://www.ted.com/talks/jonas_eliasson_how_to_solve_traffic_jams,1472189001
A Mail Boat Stays Afloat,http://www.nytimes.com/2016/08/21/business/a-mail-boat-stays-afloat.html,1472189000
Die neuen ERA (Empfehlungen für Radverkehrsanlagen) Radverkehrsführung auf der Strecke und im Verkehrsknoten,http://www.kompetenzzentrum-radverkehr.de/fileadmin/redakteure/pdf/LGB-ERA_2011.pdf,1472188999
"No Way Around Rio’s Gridlock, Even for Olympic Officials",http://mobile.nytimes.com/2016/08/18/sports/olympics/traffic-gridlock-rio-transportation-problems.html,1471569866
Does the Livability of a Residential Street Depend on the Characteristics of the Neighboring Street Network?,http://www.ugpti.org/resources/reports/downloads/mpc16-309.pdf,1471498035
The Shame of Palo Alto: an Interview with Kate Downing on Affordable Housing,https://stanfordpolitics.com/the-shame-of-palo-alto-an-interview-with-kate-downing-on-affordable-housing-edddfe142d45#.role44qi2,1471498034
Green Lights Forever: Analyzing the Security of Traffic Infrastructure,https://jhalderm.com/pub/papers/traffic-woot14.pdf,1471498033
Superblocks: how Barcelona is taking city streets back from cars,http://www.vox.com/2016/8/4/12342806/barcelona-superblocks,1470626985
Can You Trust Autonomous Vehicles: Contactless Attacks against Sensors of Self-driving Vehicle,,1470626984
Self-Driving and Connected Cars: Fooling Sensors and Tracking Devices,https://www.blackhat.com/docs/eu-15/materials/eu-15-Petit-Self-Driving-And-Connected-Cars-Fooling-Sensors-And-Tracking-Drivers.pdf,1470626983
What The Paris Trams Can Teach U.S. Cities,http://transitcenter.org/2016/07/07/paris-trams-are-hyper-cool/,1469303133
High-Quality Bike Facilities Increase Ridership and Make Biking Safer,http://nacto.org/2016/07/20/high-quality-bike-facilities-increase-ridership-make-biking-safer/,1469303132
